Date,1M_90_Imp_Vol,1M_110_Imp_Vol,1M_Spread,1M_put_Daily_Return,1m_call_Daily_Return,1m_Spread_Daily_Return
12/29/17,10.512,8.6554,1.857,0.003072721,0.126110771,-0.350244927
12/28/17,10.5444,7.6861,2.858,0.005761162,-0.022796043,0.042685151
12/27/17,10.6055,7.8654,2.741,0.006184698,-0.014805351,0.019717262
12/26/17,10.6715,7.9836,2.688,-0.017534994,0.003935968,0.059936909
12/22/17,10.4876,7.9523,2.536,-0.014735905,-0.000213729,0.065098698
12/21/17,10.3353,7.954,2.381,-0.001472854,0.013351679,-0.036422501
12/20/17,10.3201,7.8492,2.471,0.025108871,-0.030364422,-0.008028904
12/19/17,10.5859,8.095,2.491,-0.044973989,0.067561686,-0.021986651
12/18/17,10.1303,7.5827,2.547,0.008709011,-0.017746804,0.019207683
12/15/17,10.2193,7.7197,2.499,0.375149803,-0.389626408,-0.325869976
12/14/17,16.3548,12.6475,3.707,-0.283695959,0.251880667,0.405764126
12/13/17,12.7404,10.1028,2.637,-0.144474088,0.097844041,0.366321244
12/12/17,11.1321,9.2024,1.93,-0.037658113,0.066067353,-0.079198473
12/11/17,10.7281,8.6321,2.096,-0.109397944,0.126744201,0.043305127
12/8/17,9.6702,7.6611,2.009,0.087691161,-0.07742052,-0.125
12/7/17,10.5997,8.304,2.296,0.094104677,0.011634282,-0.342497136
12/6/17,11.7008,8.2085,3.492,-0.010030558,0.019740111,-0.012164074
12/5/17,11.5846,8.0496,3.535,0.055544232,-0.054301088,-0.058337773
12/4/17,12.2659,8.5118,3.754,-0.024360709,0.004543684,0.072265067
12/1/17,11.9742,8.4733,3.501,-0.117402786,0.002733663,0.545013239
11/30/17,10.7161,8.4502,2.266,-0.029305542,0.060730066,-0.073210634
11/29/17,10.411,7.9664,2.445,-0.071674884,0.00263042,0.3821368
11/28/17,9.7147,7.9455,1.769,-0.003532875,0.128061333,-0.329161926
11/27/17,9.6805,7.0435,2.637,-0.042752811,0.040491033,0.048508946
11/24/17,9.2836,6.7694,2.515,0.026212828,0.044257617,-0.175680105
11/22/17,9.5335,6.4825,3.051,-0.011350979,0.038130165,-0.041470311
11/21/17,9.4265,6.2444,3.183,0.089473379,-0.01344498,-0.208799403
