Date,ES1 Index (1.) 1M 90% Imp Vol,ES1 Index (2.) 1M 110% Imp Vol,ES1 Spread(Abs)
12/31/07,22.767,18.7733,3.994
12/28/07,21.2969,16.9713,4.326
12/27/07,21.0255,16.1271,4.899
12/26/07,19.4637,14.571,4.893
12/24/07,19.6521,14.1292,5.523
12/21/07,19.6856,14.4826,5.203
12/20/07,22.2444,17.1335,5.11
12/19/07,23.3301,18.4166,4.913
12/18/07,24.4933,19.5842,4.909
12/17/07,26.4532,21.6778,4.775
12/14/07,23.0963,20.0067,3.089
12/13/07,23.865,18.8941,4.971
12/12/07,24.2644,18.5762,5.688
12/11/07,24.9445,20.0478,4.897
12/10/07,22.507,16.9877,5.519
12/7/07,22.4672,16.787,5.68
12/6/07,22.4555,17.3499,5.106
12/5/07,23.8007,18.9386,4.862
12/4/07,24.858,20.633,4.225
12/3/07,24.1075,19.6336,4.474
11/30/07,24.167,18.7973,5.37
11/29/07,25.3812,20.5196,4.861
11/28/07,25.6346,20.4742,5.161
11/27/07,27.4116,22.943,4.469
11/26/07,29.9389,25.1935,4.745
11/23/07,26.9525,22.2864,4.667
11/21/07,27.6725,23.1299,4.543
11/20/07,26.4927,20.0644,6.429
11/19/07,26.9258,20.8249,6.101
11/16/07,25.6725,19.6692,6.004
11/15/07,28.9922,23.5439,5.448
11/14/07,27.6169,20.6321,6.985
11/13/07,26.5694,20.2653,6.304
11/12/07,30.634,24.4806,6.153
11/9/07,27.4068,22.8727,4.534
11/8/07,26.4366,21.0755,5.361
11/7/07,27.3341,21.4776,5.856
11/6/07,22.6041,15.5971,7.007
11/5/07,24.8213,18.7165,6.104
11/2/07,23.3575,17.0188,6.339
11/1/07,24.5365,17.947,6.59
10/31/07,19.4161,13.6557,5.76
10/30/07,22.016,16.5439,5.472
10/29/07,21.1994,15.1361,6.063
10/26/07,20.9321,14.9041,6.028
10/25/07,21.9523,16.657,5.295
10/24/07,22.0814,16.1619,5.919
10/23/07,21.0344,15.355,5.679
10/22/07,22.8327,17.0237,5.809
10/19/07,23.1265,18.3933,4.734
10/18/07,19.2388,14.3177,4.921
10/17/07,19.3647,14.009,5.356
10/16/07,21.0451,15.7717,5.273
10/15/07,19.7665,14.9683,4.799
10/12/07,18.1175,12.848,5.27
10/11/07,19.7293,14.6316,5.097
10/10/07,17.0216,12.5967,4.425
10/9/07,16.5275,11.9852,4.543
10/8/07,18.0952,13.0933,5.002
10/5/07,17.6586,11.5857,6.073
10/4/07,18.7561,13.4248,5.331
10/3/07,19.2248,12.8683,6.357
10/2/07,18.0729,13.4459,4.627
10/1/07,18.5829,12.429,6.154
9/28/07,19.0881,12.6701,6.418
9/27/07,17.7149,12.0458,5.669
9/26/07,18.3151,12.7578,5.557
9/25/07,19.6274,13.6513,5.976
9/24/07,19.5621,13.607,5.955
9/21/07,19.6947,13.6589,6.036
9/20/07,20.7914,14.7376,6.053
9/19/07,20.9499,14.3086,6.641
9/18/07,22.1892,15.34,6.849
9/17/07,26.7558,21.3572,5.399
9/14/07,25.3431,19.2933,6.05
9/13/07,26.1107,19.09,7.021
9/12/07,26.5631,19.5996,6.963
9/11/07,26.1476,19.4654,6.683
9/10/07,28.2874,21.6513,6.636
9/7/07,26.8471,20.2941,6.553
9/6/07,24.174,18.226,5.948
9/5/07,25.1242,18.4085,6.715
9/4/07,23.1094,16.9972,6.112
8/31/07,24.1334,17.8659,6.267
8/30/07,25.4515,19.0041,6.448
8/29/07,23.9273,17.5946,6.332
8/28/07,25.9579,19.6353,6.323
8/27/07,22.8173,16.3878,6.429
8/24/07,21.7789,14.0315,7.747
8/23/07,23.6322,16.0707,7.561
8/22/07,23.6401,16.5236,7.116
8/21/07,25.7466,19.2691,6.478
8/20/07,26.6671,20.0342,6.633
8/17/07,28.8268,22.0492,6.778
8/16/07,32.4744,26.1398,6.334
