Date,2M_90_Imp_Vol,2M_110_Imp_Vol,2M_Spread,2M_put_Daily_Return,2M_call_Daily_Return,2M_Spread_Daily_Return
12/29/17,10.512,8.6554,1.857,-0.003072721,0.126110771,-0.350244927
12/28/17,10.5444,7.6861,2.858,-0.005761162,-0.022796043,0.042685151
12/27/17,10.6055,7.8654,2.741,-0.006184698,-0.014805351,0.019717262
12/26/17,10.6715,7.9836,2.688,0.017534994,0.003935968,0.059936909
12/22/17,10.4876,7.9523,2.536,0.014735905,-0.000213729,0.065098698
12/21/17,10.3353,7.954,2.381,0.001472854,0.013351679,-0.036422501
12/20/17,10.3201,7.8492,2.471,-0.025108871,-0.030364422,-0.008028904
12/19/17,10.5859,8.095,2.491,0.044973989,0.067561686,-0.021986651
12/18/17,10.1303,7.5827,2.547,-0.008709011,-0.017746804,0.019207683
12/15/17,10.2193,7.7197,2.499,-0.250795443,-0.269528108,-0.186523438
12/14/17,13.6402,10.5681,3.072,0.158236178,0.156829477,0.162755488
12/13/17,11.7767,9.1354,2.642,0.07944088,0.059680544,0.154215815
12/12/17,10.91,8.6209,2.289,0.02044634,0.035580862,-0.032544379
12/11/17,10.6914,8.3247,2.366,0.042473527,0.049534784,0.018072289
12/8/17,10.2558,7.9318,2.324,-0.060634926,-0.064602104,-0.046759639
12/7/17,10.9178,8.4796,2.438,-0.075029229,0.001192514,-0.268526853
12/6/17,11.8034,8.4695,3.333,0.011110445,-0.004992951,0.054079696
12/5/17,11.6737,8.512,3.162,-0.032873535,-0.030546001,-0.039197812
12/4/17,12.0705,8.7802,3.291,0.016317664,0.00430078,0.050095724
12/1/17,11.8767,8.7426,3.134,0.083858074,0.010156331,0.360833695
11/30/17,10.9578,8.6547,2.303,0.011847269,0.035065479,-0.066855754
11/29/17,10.8295,8.3615,2.468,0.054715272,0.012827656,0.226640159
11/28/17,10.2677,8.2556,2.012,-0.0064061,0.063893399,-0.218337218
11/27/17,10.3339,7.7598,2.574,0.031100956,0.025831527,0.04719284
11/24/17,10.0222,7.5644,2.458,-0.018355273,0.016638443,-0.112314915
11/22/17,10.2096,7.4406,2.769,0.003587894,0.02762202,-0.055593452
11/21/17,10.1731,7.2406,2.932,-0.075660106,-0.030203185,-0.171751412
