Date,ES1 Index (1.) 60D 90% Imp Vol,ES1 Index (2.) 60D 110% Imp Vol,ES1 Spread(Abs)
12/31/07,22.871,19.8891,2.982
12/28/07,21.5172,19.0785,2.438
12/27/07,21.193,18.0694,3.124
12/26/07,19.4806,16.7251,2.756
12/24/07,20.7071,16.4695,4.237
12/21/07,20.6526,16.8898,3.763
12/20/07,22.1021,18.9389,3.163
12/19/07,23.0619,20.0732,2.989
12/18/07,22.0891,21.2769,0.812
12/17/07,26.1527,22.31,3.843
12/14/07,22.4247,22.14,0.285
12/13/07,22.6067,20.3496,2.257
12/12/07,22.4467,19.6149,2.832
12/11/07,22.3441,20.8328,1.511
12/10/07,21.2341,18.6729,2.561
12/7/07,21.4864,18.0274,3.459
12/6/07,20.0854,18.2977,1.787
12/5/07,22.4394,20.086,2.353
12/4/07,24.5217,21.0986,3.423
12/3/07,23.0142,20.1632,2.851
11/30/07,24.3349,19.4907,4.844
11/29/07,23.5629,20.6197,2.943
11/28/07,24.4533,20.3852,4.068
11/27/07,25.5752,23.2643,2.311
11/26/07,28.3578,25.0378,3.32
11/23/07,27.0051,24.8936,2.111
11/21/07,26.0779,23.1606,2.917
11/20/07,25.2627,21.0711,4.192
11/19/07,27.2202,22.2713,4.949
11/16/07,23.8162,21.4948,2.321
11/15/07,24.5822,22.1902,2.392
11/14/07,22.1999,20.6387,1.561
11/13/07,23.423,19.5393,3.884
11/12/07,28.5324,23.7036,4.828
11/9/07,25.498,23.294,2.204
11/8/07,24.3776,21.4721,2.906
11/7/07,25.2223,21.152,4.07
11/6/07,21.4952,17.3532,4.142
11/5/07,23.4272,19.4822,3.945
11/2/07,22.5424,18.4046,4.137
11/1/07,22.4888,18.4246,4.064
10/31/07,18.6229,14.9845,3.638
10/30/07,20.5689,17.217,3.352
10/29/07,20.1544,16.5082,3.646
10/26/07,20.0753,16.4551,3.62
10/25/07,20.4524,17.4015,3.05
10/24/07,21.3247,17.0485,4.276
10/23/07,20.6617,16.8235,3.838
10/22/07,21.9441,17.8962,4.048
10/19/07,22.406,18.9733,3.433
10/18/07,19.6342,15.8999,3.734
10/17/07,19.1976,15.5407,3.657
10/16/07,20.7583,17.3073,3.451
10/15/07,19.7748,15.8875,3.887
10/12/07,18.2722,14.1574,4.115
10/11/07,19.3278,15.2251,4.103
10/10/07,17.256,13.7301,3.526
10/9/07,17.0728,13.1877,3.885
10/8/07,17.8592,14.2092,3.65
10/5/07,17.8995,13.1235,4.776
10/4/07,17.9464,14.765,3.181
10/3/07,18.7471,14.5715,4.175
10/2/07,17.6955,14.849,2.847
10/1/07,18.3765,13.8078,4.569
9/28/07,18.6768,14.2411,4.436
9/27/07,17.1937,13.4905,3.703
9/26/07,17.5992,14.2716,3.327
9/25/07,19.0274,15.2977,3.729
9/24/07,18.5453,15.0046,3.54
9/21/07,18.0643,15.3873,2.677
9/20/07,20.5723,16.1166,4.455
9/19/07,18.3804,15.5903,2.79
9/18/07,19.1092,16.0935,3.016
9/17/07,23.1448,23.1448,0
9/14/07,24.1101,20.5106,3.599
9/13/07,23.7869,19.4468,4.34
9/12/07,25.534,20.1599,5.374
9/11/07,24.8938,19.9048,4.989
9/10/07,24.726,21.5869,3.139
9/7/07,25.9099,20.8145,5.095
9/6/07,23.0537,18.9673,4.087
9/5/07,23.9847,19.42,4.565
9/4/07,20.922,18.0547,2.867
8/31/07,22.6761,18.3757,4.3
8/30/07,22.8334,19.4981,3.335
8/29/07,21.9326,18.4791,3.454
8/28/07,23.7479,20.5961,3.152
8/27/07,21.1772,17.5642,3.613
8/24/07,21.447,15.7922,5.655
8/23/07,22.6182,17.8967,4.721
8/22/07,22.3699,17.5601,4.81
8/21/07,24.6437,19.9256,4.718
8/20/07,25.6782,21.1145,4.563
8/17/07,26.8821,22.1094,4.773
8/16/07,28.4656,23.1409,5.325
