Date,2M_100_Imp_Vol,2M_100Imp_Daily_Return,2m_Hist_Vol_(60),2M_Hist_Daily_Return
12/29/17,9.8201,0.086799177,5.592878246,0.000118743
12/28/17,9.0358,-0.015472118,5.592214211,0.000451891
12/27/17,9.1778,-0.007612292,5.589688282,6.02911E-05
12/26/17,9.2482,0.010721194,5.589351294,-0.005998137
12/22/17,9.1501,0.009009307,5.623079293,-0.000975062
12/21/17,9.0684,0.005845359,5.628567498,0.000944321
12/20/17,9.0157,-0.00794463,5.623257337,-0.000886963
12/19/17,9.0879,0.025814972,5.628249386,0.016848439
12/18/17,8.8592,-0.005210205,5.534993386,0.063393737
12/15/17,8.9056,-0.018763979,5.205027256,0.01134517
12/14/17,9.0759,0.051997728,5.146637775,0.025200808
12/13/17,8.6273,0.011774502,5.020126528,-0.000434351
12/12/17,8.5269,0.028613822,5.022307975,8.90774E-06
12/11/17,8.2897,0.004106204,5.022263238,0.00514731
12/8/17,8.2558,-0.071766677,4.996544475,0.00902947
12/7/17,8.8941,-0.033586144,4.951832058,0.007439682
12/6/17,9.2032,-0.039562527,4.915264057,-0.000195865
12/5/17,9.5823,-0.040791607,4.916226972,0.015450401
12/4/17,9.9898,0.009254208,4.841425015,-0.06108428
12/1/17,9.8982,-0.015604022,5.156399994,-0.000519881
11/30/17,10.0551,0.094206368,5.159082105,0.051847181
11/29/17,9.1894,0.060776414,4.904782935,0.000549408
11/28/17,8.6629,0.018002985,4.90208969,0.020994409
11/27/17,8.5097,0.031116335,4.801289454,-0.000389231
11/24/17,8.2529,-0.025228843,4.803158994,-0.020055566
11/22/17,8.4665,0.039242402,4.901460562,-0.00377979
11/21/17,8.1468,-0.073026421,4.920057347,0.019482902
11/20/17,8.7886,-0.044416175,4.826032234,0.001499031
11/17/17,9.1971,-0.012497987,4.818808692,0.018545546
11/16/17,9.3135,-0.121550244,4.731068444,0.049073621
11/15/17,10.6022,0.112659649,4.509758276,0.005772334
11/14/17,9.5287,-0.004388394,4.483875847,-0.077391303
11/13/17,9.5707,-0.000626521,4.859997376,-0.000255262
11/10/17,9.5767,0.062896781,4.861238263,0.002881305
11/9/17,9.01,0.037982558,4.847271796,-0.181145954
11/8/17,8.6803,0.003097013,5.919579713,0.000116564
11/7/17,8.6535,0.031959931,5.918889785,0.001310202
11/6/17,8.3855,0.016251788,5.91114499,-0.043989261
11/3/17,8.2514,-0.047930032,6.183136598,0.001104251
11/2/17,8.6668,-0.012105323,6.176316393,-0.114059817
11/1/17,8.773,0.033917881,6.971482397,-0.000148763
10/31/17,8.4852,-0.023342541,6.972519649,-0.002444454
10/30/17,8.688,0.05125599,6.989605416,0.008901427
10/27/17,8.2644,-0.088760006,6.927936892,0.016830765
10/26/17,9.0694,0.007062116,6.81326444,-0.000646495
10/25/17,9.0058,0.041795361,6.817672033,0.007880223
10/24/17,8.6445,0.025846417,6.764367307,-0.000240749
10/23/17,8.4267,0.089157156,6.765996217,0.010007462
10/20/17,7.7369,-0.027893302,6.698956665,0.009849504
10/19/17,7.9589,0.011386019,6.63361881,-0.000531588
10/18/17,7.8693,-0.009340971,6.637147035,-0.000205908
10/17/17,7.9435,0.017458244,6.638513959,-0.001341241
10/16/17,7.8072,-0.028024352,6.647429766,-0.000170042
10/13/17,8.0323,-0.034672147,6.648560299,-0.000527099
10/12/17,8.3208,0.00285642,6.652066598,0.001646236
10/11/17,8.2971,-0.024237934,6.641133724,-0.01176736
10/10/17,8.5032,-0.034955511,6.720212885,0.0003968
10/9/17,8.8112,0.015314059,6.717547362,0.000491249
10/6/17,8.6783,0.022347619,6.714248993,-0.003119746
10/5/17,8.4886,-0.022962443,6.735261296,0.009957817
10/4/17,8.6881,-0.014787095,6.668854065,-0.015620301
10/3/17,8.8185,0.00562195,6.774676551,0.001424181
10/2/17,8.7692,-0.04804707,6.765041908,0.005685461
9/29/17,9.2118,-0.010367092,6.726796965,-0.009508912
9/28/17,9.3083,-0.031988685,6.791375555,-0.034423922
9/27/17,9.6159,-0.008874459,7.033496074,0.004121498
9/26/17,9.702,0.005419858,7.004626521,-4.15194E-05
9/25/17,9.6497,0.015469288,7.004917361,0.001073284
9/22/17,9.5027,0.013426755,6.997407158,-0.028274828
9/21/17,9.3768,-0.005050719,7.201014607,-0.017998614
9/20/17,9.4244,-0.006985786,7.332998418,-0.01928905
9/19/17,9.4907,-0.008866285,7.477227024,4.23969E-05
9/18/17,9.5756,-0.030780287,7.476910026,0.001716984
9/15/17,9.8797,0.125789102,7.464094293,-0.000374616
9/14/17,8.7758,-0.012601544,7.466891507,-0.001633981
9/13/17,8.8878,-0.012949225,7.479112231,-0.007876303
