Date,3M_100_Imp_Vol,3M_100Imp_Daily_Return,3M_Hist_Vol_(90),3M_Hist_Daily_Return
12/29/17,9.996,0.073084851,5.279357775,-0.005194126
12/28/17,9.3152,-0.011618407,5.3069226,-0.040061817
12/27/17,9.4247,-0.005361195,5.528400366,0.001206166
12/26/17,9.4755,0.020308176,5.52174023,-0.002203735
12/22/17,9.2869,0.011821232,5.533935556,-0.109811698
12/21/17,9.1784,0.008316214,6.216589842,0.000598096
12/20/17,9.1027,-0.005723586,6.212873944,0.001087425
12/19/17,9.1551,0.028212356,6.206125248,-0.018134102
12/18/17,8.9039,-0.000190891,6.320746308,0.033523512
12/15/17,8.9056,-0.068022939,6.115725702,-0.076519004
12/14/17,9.5556,0.031944534,6.622470555,0.011349802
12/13/17,9.2598,0.007375979,6.548150345,-0.00257542
12/12/17,9.192,0.015881436,6.56505813,-0.000586962
12/11/17,9.0483,-0.018324437,6.568913831,0.003229892
12/8/17,9.2172,-0.053850418,6.547765255,0.003718989
12/7/17,9.7418,-0.016297762,6.523504414,0.003514282
12/6/17,9.9032,-0.032607209,6.500659267,-0.00032893
12/5/17,10.237,-0.0100762,6.502798232,0.006264795
12/4/17,10.3412,0.00877946,6.462313165,0.002283839
12/1/17,10.2512,-0.027815449,6.447587912,0.001268289
11/30/17,10.5445,0.076298867,6.439420868,0.023259278
11/29/17,9.797,0.041347789,6.293049091,-0.000470415
11/28/17,9.408,-0.008023956,6.296010829,0.028572367
11/27/17,9.4841,0.018503404,6.121116057,-0.000620832
11/24/17,9.3118,-0.019129079,6.124918604,0.001315087
11/22/17,9.4934,0.020707896,6.116874381,-0.009114972
11/21/17,9.3008,-0.059280462,6.173142404,0.009205068
11/20/17,9.8869,-0.03686205,6.116836507,0.00103487
11/17/17,10.2653,-0.006138236,6.110512919,0.000810752
11/16/17,10.3287,-0.082610935,6.10556282,0.01988617
11/15/17,11.2588,0.075801443,5.986513987,-0.000311598
11/14/17,10.4655,0.000640609,5.988379954,0.001887678
11/13/17,10.4588,0.006660507,5.977097118,2.26153E-05
11/10/17,10.3896,0.0518877,5.976961947,-0.007877642
