Date,ES1 Index (1.) 6M 100% Imp Vol,ES1 Index (2.) Hist Vol (180)
12/29/17,11.2452,6.401276431
12/28/17,11.3087,6.430616386
12/27/17,11.3617,6.477305813
12/26/17,11.4341,6.504926831
12/22/17,11.2959,6.506914111
12/21/17,11.1238,6.50518704
12/20/17,11.0345,6.504463295
12/19/17,11.1533,6.507502698
12/18/17,10.9069,6.51127448
12/15/17,10.9827,6.406669298
12/14/17,11.3438,6.389368263
12/13/17,11.0913,6.362408222
12/12/17,11.051,6.369552261
12/11/17,10.9724,6.372214641
12/08/17,11.1101,6.386972956
12/07/17,11.4815,6.384436713
12/06/17,11.6561,6.374612571
12/05/17,11.7679,6.37789931
12/04/17,11.6679,6.3555115
12/01/17,11.646,6.52432597
11/30/17,11.6207,6.576141912
11/29/17,11.5801,6.502313777
11/28/17,11.2557,6.502395417
11/27/17,11.4589,6.467294416
11/24/17,11.3579,6.486227478
11/22/17,11.4594,6.482575451
11/21/17,11.431,6.484693453
11/20/17,11.9348,6.456720126
11/17/17,12.2305,6.455956686
11/16/17,12.2083,6.459683955
11/15/17,12.7486,6.408099193
11/14/17,12.3255,6.374364929
11/13/17,12.2156,6.401368453
11/10/17,12.1179,6.576197498
11/09/17,11.6564,6.579458557
11/08/17,11.4145,6.568906033
11/07/17,11.3104,6.567696206
11/06/17,11.0555,6.565924131
11/03/17,10.9888,6.562282397
11/02/17,11.0223,6.581997121
11/01/17,10.986,6.582253577
10/31/17,10.762,6.589918929
10/30/17,10.8863,6.618644295
10/27/17,10.6554,6.614139979
10/26/17,11.1049,6.604227778
10/25/17,11.111,6.614486709
10/24/17,10.8892,6.62977124
10/23/17,11.0551,6.629037916
10/20/17,10.6907,6.604343413
10/19/17,10.8448,6.588269456
10/18/17,10.8615,6.629831996
10/17/17,10.8593,6.629590375
10/16/17,10.8687,6.629917685
10/13/17,10.9355,6.631219388
10/12/17,11.1461,6.674560272
10/11/17,11.0049,6.678772496
10/10/17,11.0803,6.677655446
10/09/17,11.2189,6.744372683
10/06/17,11.1014,6.768611358
10/05/17,10.8413,6.767544574
10/04/17,11.0818,6.745020979
10/03/17,11.1404,6.753133562
10/02/17,11.2324,6.750178201
09/29/17,11.5019,6.763000688
09/28/17,11.6131,6.767512578
09/27/17,11.8047,6.781275046
09/26/17,11.8869,6.777595466
09/25/17,11.8798,6.777477634
09/22/17,11.7723,6.78740885
09/21/17,11.5892,6.793562477
09/20/17,11.5106,6.788416606
09/19/17,11.6569,6.811224681
09/18/17,11.5884,6.858149273
09/15/17,11.78,6.875191112
09/14/17,11.9502,6.875049892
09/13/17,11.9521,6.935206414
09/12/17,12.1191,6.935087567
09/11/17,12.3862,6.926442206
09/08/17,13.0403,6.830488826
09/07/17,12.6988,6.836227343
09/06/17,12.7026,6.842334343
09/05/17,12.7748,6.858155724
09/01/17,12.0817,6.81848034
08/31/17,12.278,6.822930973
08/30/17,12.4834,6.855085327
08/29/17,12.4729,6.899366048
08/28/17,12.468,6.903740255
08/25/17,12.4351,6.929971528
08/24/17,12.5853,6.950560818
08/23/17,12.5377,7.087674177
08/22/17,11.9505,7.064292015
08/21/17,12.8279,6.995240363
08/18/17,13.1098,6.995576525
08/17/17,13.0816,7.006380684
08/16/17,11.6291,6.739160923
08/15/17,11.8207,6.738882107
08/14/17,11.9553,6.769855097
08/11/17,13.3946,6.700974309
08/10/17,13.4454,6.70088397
08/09/17,11.7082,6.456366005
08/08/17,11.4614,6.48324813
08/07/17,11.0755,6.481497152
08/04/17,11.1591,6.50239112
08/03/17,11.0816,6.517325868
08/02/17,10.806,6.584799903
08/01/17,10.6686,6.586371414
07/31/17,10.9552,6.598070479
07/28/17,10.9195,6.601964738
07/27/17,10.7671,6.725938522
07/26/17,10.7599,6.729365061
07/25/17,10.8144,7.251202294
07/24/17,10.9358,7.256599134
07/21/17,10.9737,7.281206993
07/20/17,11.05,7.319480635
07/19/17,11.0457,7.391501377
07/18/17,11.1525,7.375961321
07/17/17,11.2427,7.375198644
07/14/17,11.2119,7.407642509
07/13/17,11.4769,7.402323393
07/12/17,11.6147,7.413232628
07/11/17,11.9022,7.395353111
07/10/17,12.0409,7.397922023
07/07/17,12.182,7.399256334
07/06/17,12.5818,7.377928261
07/05/17,12.0652,7.313578825
07/03/17,12.1221,7.32020427
06/30/17,12.0626,7.319497494
06/29/17,12.0838,7.329509414
06/28/17,11.5527,7.264411566
06/27/17,11.9158,7.36563038
06/26/17,11.4405,7.342360916
06/23/17,11.5196,7.370597862
06/22/17,11.684,7.37085215
06/21/17,11.7599,7.379419844
06/20/17,11.6778,7.395417337
06/19/17,11.4772,7.389013421
06/16/17,11.8028,7.392743624
06/15/17,11.9152,7.448245558
06/14/17,11.8443,7.461871431
06/13/17,11.7658,7.486460156
06/12/17,12.0906,7.552724193
06/09/17,11.8993,7.578649294
06/08/17,11.88,7.599597269
06/07/17,12.0066,7.716302794
06/06/17,12.0189,7.718902739
06/05/17,11.7981,7.729044351
06/02/17,11.5761,7.733970786
06/01/17,11.6612,7.83816087
05/31/17,12.0063,7.814397283
05/30/17,11.9218,8.009138521
05/26/17,11.6891,8.236987747
05/25/17,11.6086,8.820574483
05/24/17,11.8112,8.817521485
05/23/17,11.9983,8.816672509
05/22/17,12.1136,8.819365449
05/19/17,12.47,8.821041686
05/18/17,13.1675,8.781362976
05/17/17,13.4914,8.785819144
05/16/17,11.8495,8.543719071
05/15/17,11.8216,8.559058893
05/12/17,11.9717,8.555360957
05/11/17,11.9128,8.554783716
05/10/17,11.7273,8.573543298
05/09/17,11.5842,8.574687613
05/08/17,11.5006,8.573698363
05/05/17,11.5318,8.572817364
05/04/17,11.6677,8.555944146
05/03/17,11.7454,8.556428791
05/02/17,11.5844,8.573532435
05/01/17,11.4698,8.576531663
04/28/17,11.6899,8.573490342
04/27/17,11.6212,8.577964655
04/26/17,11.6465,8.583195935
04/25/17,11.4508,8.580990281
04/24/17,11.6242,8.55314023
04/21/17,12.6193,8.532234309
04/20/17,12.5408,8.527617781
04/19/17,13.0769,8.483523903
04/18/17,12.9011,8.510045129
04/17/17,12.8034,8.502033229
04/13/17,13.3033,8.46022648
04/12/17,13.0574,8.430063781
04/11/17,12.8993,8.41245867
04/10/17,12.7021,8.411396364
04/07/17,12.388,8.418530171
04/06/17,12.2226,8.430796207
04/05/17,12.5231,8.445267358
04/04/17,12.1028,8.437079975
04/03/17,12.3024,8.437998876
03/31/17,12.2579,8.442046091
03/30/17,12.1718,8.441424417
03/29/17,12.2689,8.454495847
03/28/17,12.5151,8.45177756
03/27/17,12.924,8.469098327
03/24/17,13.1045,8.474325927
03/23/17,13.3322,8.615629564
03/22/17,13.2355,8.615318239
03/21/17,13.2121,8.634147465
03/20/17,12.6717,8.543372968
03/17/17,12.6708,8.502285718
03/16/17,12.6308,8.596950715
03/15/17,12.9606,8.861659423
03/14/17,13.2955,9.177469939
03/13/17,13.1367,9.407044323
03/10/17,13.0651,10.75294043
03/09/17,13.3879,10.86834606
03/08/17,13.2699,10.87259594
03/07/17,13.299,10.87396509
03/06/17,13.234,10.86653611
03/03/17,13.1939,10.86023063
03/02/17,13.4692,10.86488358
03/01/17,13.383,10.84675483
02/28/17,13.685,10.75185384
02/27/17,13.3789,10.80155527
02/24/17,13.3365,10.85833313
02/23/17,13.261,10.86210208
02/22/17,12.9764,10.86833149
02/21/17,12.7528,10.86837219
02/17/17,12.5661,10.86774963
02/16/17,12.4661,10.87572585
02/15/17,12.2645,10.87364991
02/14/17,12.3941,10.85634994
02/13/17,12.7526,10.84737001
02/10/17,12.9443,10.83492219
02/09/17,13.0924,10.82862239
02/08/17,13.2069,10.82709525
02/07/17,13.1057,10.95573234
02/06/17,13.0432,10.9614438
02/03/17,12.8715,10.97276019
02/02/17,13.2195,10.95008509
02/01/17,13.1509,10.95173539
01/31/17,13.2847,11.01731741
01/30/17,13.2425,11.06755387
01/27/17,12.8234,11.0839848
01/26/17,12.6627,11.07892244
01/25/17,12.6028,11.14456995
01/24/17,12.8795,11.17776779
01/23/17,13.3365,11.16173317
01/20/17,13.3285,11.16721043
01/19/17,13.5689,11.16859266
01/18/17,13.5526,11.18283786
01/17/17,13.6422,11.23319676
01/13/17,13.4721,11.24869402
01/12/17,13.6806,11.2732896
01/11/17,13.5565,11.32031903
01/10/17,13.6341,11.31646485
01/09/17,13.6098,11.31853898
01/06/17,13.5172,11.31342024
01/05/17,13.6006,11.30938789
01/04/17,13.7203,11.34789854
01/03/17,14.2742,11.33481971
12/30/16,14.9645,11.31023482
12/29/16,14.6193,11.31587723
12/28/16,14.3906,11.3165525
12/27/16,14.0466,11.28073431
12/23/16,13.9802,11.33657954
12/22/16,13.9872,11.39871088
12/21/16,13.9081,11.40605005
12/20/16,13.8941,11.40253645
12/19/16,13.9091,11.50508688
12/16/16,14.064,11.55550221
12/15/16,14.1351,11.61324372
12/14/16,14.4036,11.62058444
12/13/16,14.5269,11.60603116
12/12/16,14.5232,11.578086
12/09/16,14.2595,11.58135496
12/08/16,14.5999,11.61748165
12/07/16,14.3127,11.60601431
12/06/16,14.4881,11.52246439
12/05/16,14.6377,11.55240572
12/02/16,15.1476,11.53572042
12/01/16,15.152,11.54555566
11/30/16,14.7651,11.5516104
11/29/16,14.6201,11.56840723
11/28/16,14.7172,11.58423911
11/25/16,14.3803,11.56927827
11/23/16,14.4338,11.55856726
11/22/16,14.3592,11.70112158
11/21/16,14.3918,11.69670535
11/18/16,14.5502,11.68831409
11/17/16,14.4959,11.74250183
11/16/16,14.7037,11.72963908
11/15/16,14.4891,11.72404646
11/14/16,15.159,11.68834676
11/11/16,14.8661,11.69106073
11/10/16,14.7126,12.04659044
11/09/16,14.3358,12.07619282
11/08/16,15.3894,12.01562818
11/07/16,15.4281,12.07131936
11/04/16,17.345,11.78273377
11/03/16,17.1219,11.85403146
11/02/16,16.6831,11.91304742
11/01/16,16.4468,11.89251264
10/31/16,15.9672,11.85971002
10/28/16,15.5694,12.03796729
10/27/16,15.4504,12.18413609
10/26/16,15.0355,12.34724202
10/25/16,14.7501,12.44197768
10/24/16,14.668,12.43532257
10/21/16,14.9821,12.43232273
10/20/16,15.0583,12.53292248
10/19/16,15.2481,12.7168026
10/18/16,15.5599,12.71466541
10/17/16,15.9607,12.72246758
10/14/16,15.811,12.90805678
10/13/16,15.8934,12.90804308
10/12/16,15.5502,13.25804914
10/11/16,15.4092,13.25862093
10/10/16,14.631,13.25498536
10/07/16,14.9665,13.33272719
10/06/16,14.6677,13.45869137
10/05/16,14.8048,13.66490868
10/04/16,14.9863,13.66275142
10/03/16,14.8318,13.7090029
09/30/16,14.7799,13.7016687
09/29/16,15.1719,13.93503796
09/28/16,14.5398,14.05039041
09/27/16,14.9283,14.32715043
09/26/16,15.4894,14.32472427
09/23/16,14.663,14.28236089
09/22/16,14.5565,14.33908735
09/21/16,15.0025,14.70955876
09/20/16,16.0378,14.73261362
09/19/16,15.7874,14.73235507
09/16/16,15.8859,14.81499019
09/15/16,16.0288,14.85653878
09/14/16,16.8971,14.83244905
09/13/16,16.5588,14.88862407
09/12/16,15.395,14.79145551
09/09/16,16.4044,14.65757149
09/08/16,14.349,14.35635817
09/07/16,14.0911,14.40002637
09/06/16,14.225,14.4300457
09/02/16,14.3981,14.43015542
09/01/16,14.7542,14.59540048
08/31/16,14.7062,14.67352562
08/30/16,14.378,14.75178754
08/29/16,14.3094,14.75679565
08/26/16,14.5674,14.94032164
08/25/16,14.5177,14.94196909
08/24/16,14.4153,14.97671344
08/23/16,14.0307,15.02391932
08/22/16,14.1274,15.03011016
08/19/16,13.9917,15.18154644
08/18/16,14.0412,15.28803594
08/17/16,14.1788,15.32637862
08/16/16,14.3361,15.3683245
08/15/16,13.9017,15.37142813
08/12/16,13.8691,15.36896018
08/11/16,13.8435,15.36936012
08/10/16,13.8935,15.36216569
08/09/16,13.6735,15.36210385
08/08/16,13.7935,15.37073862
08/05/16,13.9044,15.37052837
08/04/16,14.4334,15.44305367
