Date,ES_PX_LAST,ES_DAILY_RETURN,ES_PX_VOLUME
12/29/17,2676,-0.003630271,1055982
12/28/17,2685.75,9.31E-05,519713
12/27/17,2685.5,-0.000558243,627745
12/26/17,2687,0.000372301,360430
12/22/17,2686,-0.000651102,591050
12/21/17,2687.75,0.002330785,813005
12/20/17,2681.5,-0.000931446,934245
12/19/17,2684,-0.003896827,965199
12/18/17,2694.5,0.010405925,1006782
12/15/17,2666.75,0.0050881,34566
12/14/17,2653.25,-0.004969061,445627
12/13/17,2666.5,0.000562852,722330
12/12/17,2665,0.001315048,1021573
12/11/17,2661.5,0.00396077,1217692
12/8/17,2651,0.004356886,1132215
12/7/17,2639.5,0.00389845,1290996
12/6/17,2629.25,0.000380481,1239225
12/5/17,2628.25,-0.003790391,1349781
12/4/17,2638.25,-0.002174735,1730084
12/1/17,2644,-0.001510574,2484052
11/30/17,2648,0.008761905,2303448
11/29/17,2625,-0.000380807,1642816
11/28/17,2626,0.00932065,1539152
11/27/17,2601.75,0.000288351,931107
11/24/17,2601,0.0025053,536543
11/22/17,2594.5,-0.000674049,747869
11/21/17,2596.25,0.005518978,1130421
11/20/17,2582,0.002231926,988166
11/17/17,2576.25,-0.003384913,1169730
11/16/17,2585,0.007797271,1512201
11/15/17,2565,-0.005042669,1900941
11/14/17,2578,-0.001549187,1573219
11/13/17,2582,0.00096918,1044536
11/10/17,2579.5,-0.001741486,1178663
11/9/17,2584,-0.00270166,2203891
11/8/17,2591,0.001642988,1037057
11/7/17,2586.75,-0.000772574,1152813
11/6/17,2588.75,0.002323105,828740
11/3/17,2582.75,0.002328515,974513
11/2/17,2576.75,0.000776774,1262640
11/1/17,2574.75,0.000777378,1269785
10/31/17,2572.75,0.001752166,1021252
10/30/17,2568.25,-0.003975179,1190925
10/27/17,2578.5,0.006636736,1543852
10/26/17,2561.5,0.001172562,1361504
10/25/17,2558.5,-0.003408316,2088185
10/24/17,2567.25,0.001462844,1035758
10/23/17,2563.5,-0.004079254,1217936
10/20/17,2574,0.005272408,1236659
10/19/17,2560.5,0.000195313,1346925
10/18/17,2560,0.00117325,738261
10/17/17,2557,0.000293399,728656
10/16/17,2556.25,0.00137107,780973
10/13/17,2552.75,0.00127476,905072
10/12/17,2549.5,-0.001370936,924519
10/11/17,2553,0.001765745,804892
10/10/17,2548.5,0.001867322,1141304
10/9/17,2543.75,-0.000491159,719501
10/6/17,2545,-0.001960784,1138029
10/5/17,2550,0.00542139,1086185
10/4/17,2536.25,0.001381897,943600
10/3/17,2532.75,0.002572984,836809
10/2/17,2526.25,0.004073927,1113226
9/29/17,2516,0.003289802,1325100
9/28/17,2507.75,0.001297664,1097115
9/27/17,2504.5,0.003606492,1562400
9/26/17,2495.5,-0.000600721,1136782
9/25/17,2497,-0.0010002,1527029
9/22/17,2499.5,-0.00059976,1008511
9/21/17,2501,-0.001696437,1110754
9/20/17,2505.25,0.000199621,1214848
9/19/17,2504.75,0.000799121,952378
9/18/17,2502.75,0.002704327,1076633
9/15/17,2496,-0.00020028,54760
9/14/17,2496.5,0,402602
9/13/17,2496.5,0.000200321,602757
9/12/17,2496,0.003417085,1028939
9/11/17,2487.5,0.010152284,1305963
9/8/17,2462.5,-0.001621731,1212116
9/7/17,2466.5,0.000405597,1514891
9/6/17,2465.5,0.002337636,1553109
9/5/17,2459.75,-0.005860362,2102839
9/1/17,2474.25,0.001720648,1025982
8/31/17,2470,0.005802708,1701193
8/30/17,2455.75,0.003575807,1280219
8/29/17,2447,0.001329923,1606329
8/28/17,2443.75,0.000511771,925259
8/25/17,2442.5,0.000716993,1181314
8/24/17,2440.75,-0.000307188,1389728
8/23/17,2441.5,-0.004586688,1230848
8/22/17,2452.75,0.010193575,1357110
8/21/17,2428,0.000515092,1320240
8/18/17,2426.75,-0.00113192,2181421
8/17/17,2429.5,-0.015400203,2218607
8/16/17,2467.5,0.00152207,1128960
8/15/17,2463.75,0.000101482,1050857
8/14/17,2463.5,0.009631148,1460697
8/11/17,2440,0.001025641,1645294
8/10/17,2437.5,-0.014355034,2307321
8/9/17,2473,0.000101102,1546074
8/8/17,2472.75,-0.001917255,1360425
8/7/17,2477.5,0.002224919,586256
8/4/17,2472,0.000101143,1056850
8/3/17,2471.75,-0.000707499,1079166
8/2/17,2473.5,0.000505612,1292615
8/1/17,2472.25,0.001722042,1036810
7/31/17,2468,-0.000910839,1184133
7/28/17,2470.25,-0.000707929,1138605
7/27/17,2472,-0.000505408,1642155
7/26/17,2473.25,-0.000303153,950620
7/25/17,2474,0.002228074,1067744
7/24/17,2468.5,-0.00040494,847057
7/21/17,2469.5,-0.000708144,1080206
7/20/17,2471.25,-0.000101153,1095397
7/19/17,2471.5,0.005594548,941160
7/18/17,2457.75,-0.000305064,1072350
7/17/17,2458.5,0.001017915,846768
7/14/17,2456,0.0042936,1076239
7/13/17,2445.5,0.002254098,934983
7/12/17,2440,0.006393071,1129422
7/11/17,2424.5,0,1127920
7/10/17,2424.5,0.000825593,849888
7/7/17,2422.5,0.005812747,1249140
7/6/17,2408.5,-0.008031301,1590195
7/5/17,2428,0.001237113,1276362
7/3/17,2425,0.00165221,750433
6/30/17,2421,0.000413223,1614299
6/29/17,2420,-0.007586631,2329022
6/28/17,2438.5,0.00743648,1545009
6/27/17,2420.5,-0.00636289,1625794
6/26/17,2436,0.000410678,1257593
6/23/17,2435,0.001336486,1187845
6/22/17,2431.75,-0.000719129,1048845
6/21/17,2433.5,-0.001641026,1362536
6/20/17,2437.5,-0.004085802,1322839
6/19/17,2447.5,0.005178879,1213287
6/16/17,2434.89,0.000262915,47304
6/15/17,2434.25,-0.001230895,470125
6/14/17,2437.25,-0.001127049,680887
6/13/17,2440,0.004735433,1027097
6/12/17,2428.5,-0.000822876,1248108
6/9/17,2430.5,-0.000822199,1580087
6/8/17,2432.5,0.000205592,1440605
6/7/17,2432,0.000514245,1405067
6/6/17,2430.75,-0.001540357,1344999
6/5/17,2434.5,-0.001333197,876858
6/2/17,2437.75,0.00339576,1712391
6/1/17,2429.5,0.007673165,1426040
5/31/17,2411,0.000103702,1712282
5/30/17,2410.75,-0.001242879,1030338
5/26/17,2413.75,0.000103584,859823
5/25/17,2413.5,0.004787677,1309737
5/24/17,2402,0.001668057,975714
5/23/17,2398,0.002194128,1021864
5/22/17,2392.75,0.004723913,1108280
