Date,1_Future,1_PX_LAST,1_DAILY_RETURN,1_PX_VOLUME,1_DAYS_UNTIL_EXP
12/29/17,F18,11.475,0.022271715,66171,20
12/28/17,F18,11.225,-0.008830022,45693,21
12/27/17,F18,11.325,0,66407,22
12/26/17,F18,11.325,-0.008752735,50571,23
12/22/17,F18,11.425,0.017817372,73439,26
12/21/17,F18,11.225,-0.01750547,87218,27
12/20/17,Z17,9.6,-0.047146402,6003,0
12/19/17,Z17,10.075,0.020253165,101557,1
12/18/17,Z17,9.875,-0.005037783,119263,2
12/15/17,Z17,9.925,-0.043373494,120661,5
12/14/17,Z17,10.375,-0.014251781,126102,6
12/13/17,Z17,10.525,0.014457831,112764,7
12/12/17,Z17,10.375,0.004842615,102656,8
12/11/17,Z17,10.325,-0.050574713,96602,9
12/8/17,Z17,10.875,-0.026845638,108153,12
12/7/17,Z17,11.175,-0.046908316,102185,13
12/6/17,Z17,11.725,-0.012631579,107655,14
12/5/17,Z17,11.875,-0.004192872,144616,15
12/4/17,Z17,11.925,0.004210526,202798,16
12/1/17,Z17,11.875,0.017130621,318976,19
11/30/17,Z17,11.675,0.017429194,155770,20
11/29/17,Z17,11.475,0.017738359,140366,21
11/28/17,Z17,11.275,-0.004415011,109488,22
11/27/17,Z17,11.325,-0.008752735,72645,23
11/24/17,Z17,11.425,-0.004357298,38046,26
11/22/17,Z17,11.475,-0.012903226,102304,28
11/21/17,Z17,11.625,-0.037267081,126098,29
11/20/17,Z17,12.075,-0.043564356,112332,30
11/17/17,Z17,12.625,-0.003944773,120026,33
11/16/17,Z17,12.675,-0.037950664,140077,34
11/15/17,X17,13.05,0.082987552,9477,0
11/14/17,X17,12.05,0.03655914,125583,1
11/13/17,X17,11.625,0.002155172,100058,2
11/10/17,X17,11.6,0.042696629,123299,5
11/9/17,X17,11.125,0.022988506,214844,6
11/8/17,X17,10.875,0,105586,7
11/7/17,X17,10.875,0.013986014,139831,8
11/6/17,X17,10.725,-0.022779043,74209,9
11/3/17,X17,10.975,-0.013483146,90375,12
11/2/17,X17,11.125,-0.021978022,114652,13
11/1/17,X17,11.375,0.00886918,96722,14
10/31/17,X17,11.275,-0.025917927,83650,15
10/30/17,X17,11.575,0.013129103,128435,16
