Date,2_Future,2_PX_LAST,2_DAILY_RETURN,2_PX_VOLUME,2_DAYS_UNTIL_EXP,,,
12/29/17,G18,12.475,0.016293279,38726,47,,,
12/28/17,G18,12.275,-0.004056795,22813,48,,,
12/27/17,G18,12.325,0,38230,49,,,
12/26/17,G18,12.325,0,28799,50,,,1/17/18
12/22/17,G18,12.325,0.008179959,34966,54,,,2/14/18
12/21/17,G18,12.225,-0.00811359,35560,55,,,
12/20/17,F18,11.425,0.008830022,109424,28,,,
12/19/17,F18,11.325,0,98164,29,,,
12/18/17,F18,11.325,-0.013071895,109967,30,,,
12/15/17,F18,11.475,-0.033684211,97822,33,,,
12/14/17,F18,11.875,-0.008350731,92307,34,,,
12/13/17,F18,11.975,0,72403,35,,,
12/12/17,F18,11.975,0,76221,36,,,
12/11/17,F18,11.975,-0.028397566,66739,37,,,
12/8/17,F18,12.325,-0.027613412,98706,40,,,
12/7/17,F18,12.675,-0.030592734,74173,41,,,
12/6/17,F18,13.075,-0.007590133,72796,42,,,
12/5/17,F18,13.175,-0.003780718,93494,43,,,
12/4/17,F18,13.225,-0.003766478,127492,44,,,
12/1/17,F18,13.275,0.019193858,213128,47,,,
11/30/17,F18,13.025,0.007736944,88275,48,,,
11/29/17,F18,12.925,0.015717092,71037,49,,,
11/28/17,F18,12.725,-0.011650485,60599,50,,,
11/27/17,F18,12.875,0.003898635,40965,51,,,
11/24/17,F18,12.825,-0.003883495,27157,54,,,
11/22/17,F18,12.875,-0.007707129,42262,56,,,
11/21/17,F18,12.975,-0.033519553,50492,57,,,
11/20/17,F18,13.425,-0.032432432,49588,58,,,
11/17/17,F18,13.875,-0.007155635,54750,61,,,
11/16/17,F18,13.975,-0.02443281,62570,62,,,
11/15/17,Z17,13.175,0.039447732,192946,35,,,
11/14/17,Z17,12.675,-0.007827789,187451,36,,,
11/13/17,Z17,12.775,0.015904573,119742,37,,,
11/10/17,Z17,12.575,0.020283976,152084,40,,,
11/9/17,Z17,12.325,0.00407332,254288,41,,,
11/8/17,Z17,12.275,0,81577,42,,,
11/7/17,Z17,12.275,0.008213552,114465,43,,,
11/6/17,Z17,12.175,-0.012170385,56768,44,,,
11/3/17,Z17,12.325,0.00407332,88554,47,,,
11/2/17,Z17,12.275,0,75291,48,,,
11/1/17,Z17,12.275,0.008213552,84242,49,,,
10/31/17,Z17,12.175,-0.012170385,70312,50,,,
10/30/17,Z17,12.325,0.008179959,81845,51,,,
10/27/17,Z17,12.225,-0.035502959,72799,54,,,
