Date,3_Future,3_PX_LAST,3_DAILY_RETURN,3_PX_VOLUME,3_DAYS_UNTIL_EXP,,
12/29/17,H18,13.225,0.011472275,18426,82,,
12/28/17,H18,13.075,0,12385,83,,
12/27/17,H18,13.075,-0.001908397,14499,84,,1/17/18
12/26/17,H18,13.1,-0.0056926,12934,85,,2/14/18
12/22/17,H18,13.175,0.003809524,14197,89,,3/21/18
12/21/17,H18,13.125,-0.011299435,20078,90,,
12/20/17,G18,12.325,0.008179959,48999,56,,
12/19/17,G18,12.225,-0.002040816,37486,57,,
12/18/17,G18,12.25,-0.018036072,53028,58,,
12/15/17,G18,12.475,-0.031067961,39119,61,,
12/14/17,G18,12.875,-0.003868472,36417,62,,
12/13/17,G18,12.925,-0.007677543,48430,63,,
12/12/17,G18,13.025,0,37127,64,,
12/11/17,G18,13.025,-0.022514071,22404,65,,
12/8/17,G18,13.325,-0.018416206,26044,68,,
12/7/17,G18,13.575,-0.02513465,21229,69,,
12/6/17,G18,13.925,-0.003577818,20232,70,,
12/5/17,G18,13.975,-0.007104796,33829,71,,
12/4/17,G18,14.075,-0.003539823,36998,72,,
12/1/17,G18,14.125,0.014362657,72248,75,,
11/30/17,G18,13.925,0,33405,76,,
11/29/17,G18,13.925,0.018281536,26853,77,,
11/28/17,G18,13.675,-0.007259528,26225,78,,
11/27/17,G18,13.775,0.001818182,17035,79,,
11/24/17,G18,13.75,-0.005424955,13335,82,,
11/22/17,G18,13.825,-0.003603604,25619,84,,
11/21/17,G18,13.875,-0.024604569,20937,85,,
11/20/17,G18,14.225,-0.032312925,20729,86,,
11/17/17,G18,14.7,-0.005076142,22453,89,,
11/16/17,G18,14.775,-0.019900498,21718,90,,
11/15/17,F18,14.325,0.023214286,84794,63,,
11/14/17,F18,14,0.005385996,58760,64,,
11/13/17,F18,13.925,0.007233273,34487,65,,
11/10/17,F18,13.825,0.022181146,42113,68,,
11/9/17,F18,13.525,0.003710575,81882,69,,
11/8/17,F18,13.475,0,36590,70,,
11/7/17,F18,13.475,0.007476636,47949,71,,
11/6/17,F18,13.375,-0.00742115,26414,72,,
11/3/17,F18,13.475,0.003724395,22313,75,,
11/2/17,F18,13.425,0.00750469,25953,76,,
11/1/17,F18,13.325,0.007561437,26366,77,,
10/31/17,F18,13.225,-0.011214953,21207,78,,
10/30/17,F18,13.375,0.003752345,25942,79,,
10/27/17,F18,13.325,-0.029143898,27025,82,,
10/26/17,F18,13.725,0.003656307,24482,83,,
10/25/17,F18,13.675,0.007366483,46764,84,,
10/24/17,F18,13.575,-0.003669725,25624,85,,
10/23/17,F18,13.625,0.026365348,19459,86,,
10/20/17,F18,13.275,-0.007476636,13282,89,,
10/19/17,F18,13.375,-0.011090573,23665,90,,
10/18/17,Z17,12.325,-0.004040404,33933,63,,
10/17/17,Z17,12.375,0,37800,64,,
10/16/17,Z17,12.375,-0.015904573,40226,65,,
10/13/17,Z17,12.575,-0.015655577,35438,68,,
10/12/17,Z17,12.775,-0.00776699,31914,69,,
10/11/17,Z17,12.875,-0.011516315,30882,70,,
10/10/17,Z17,13.025,-0.015122873,26369,71,,
10/9/17,Z17,13.225,0.007619048,15854,72,,
10/6/17,Z17,13.125,0.007677543,21831,75,,
10/5/17,Z17,13.025,-0.018832392,20259,76,,
10/4/17,Z17,13.275,0,22748,77,,
10/3/17,Z17,13.275,0,25270,78,,
10/2/17,Z17,13.275,-0.022099448,16370,79,,
9/29/17,Z17,13.575,-0.007312614,18476,82,,
9/28/17,Z17,13.675,-0.007259528,11497,83,,
9/27/17,Z17,13.775,0,16718,84,,
9/26/17,Z17,13.775,-0.010771993,19743,85,,
9/25/17,Z17,13.925,-0.003577818,28384,86,,
9/22/17,Z17,13.975,0.01084991,20615,89,,
9/21/17,Z17,13.825,0.003629764,19782,90,,
9/20/17,X17,13.175,-0.007532957,62954,56,,
9/19/17,X17,13.275,0.003780718,63039,57,,
9/18/17,X17,13.225,-0.031135531,46467,58,,
9/15/17,X17,13.65,-0.00907441,21814,61,,
9/14/17,X17,13.775,0.003642987,34172,62,,
9/13/17,X17,13.725,-0.028318584,32615,63,,
9/12/17,X17,14.125,-0.017391304,23593,64,,
9/11/17,X17,14.375,-0.033613445,19537,65,,
9/8/17,X17,14.875,0.01362862,19641,68,,
9/7/17,X17,14.675,-0.003395586,20101,69,,
9/6/17,X17,14.725,0.017271157,34021,70,,
9/5/17,X17,14.475,0.015789474,34691,71,,
