Date,PX_LAST,PX_VOLUME
#NAME?,14.375,3730
12/28/17,14.275,3537
12/27/17,14.275,4171
12/26/17,14.325,3048
12/22/17,14.425,3734
12/21/17,14.475,4158
12/20/17,14.025,8145
12/19/17,13.975,7999
12/18/17,14.075,8207
12/15/17,14.325,8502
12/14/17,14.575,7472
12/13/17,14.625,8529
12/12/17,14.775,7047
12/11/17,14.725,6097
12/8/17,14.825,6445
12/7/17,14.925,3918
12/6/17,15.225,3234
12/5/17,15.275,8033
12/4/17,15.425,7891
12/1/17,15.475,12750
11/30/17,15.275,8242
11/29/17,15.325,4280
11/28/17,15.125,4107
11/27/17,15.225,3097
11/24/17,15.125,2999
11/22/17,15.175,3251
11/21/17,15.275,4585
11/20/17,15.575,3951
11/17/17,15.925,4725
11/16/17,15.975,3588
11/15/17,15.725,12522
11/14/17,15.475,13480
11/13/17,15.375,6093
11/10/17,15.225,10808
11/9/17,14.975,12043
11/8/17,14.875,6953
11/7/17,14.825,7940
11/6/17,14.675,3642
11/3/17,14.725,4482
11/2/17,14.675,5188
11/1/17,14.575,5127
10/31/17,14.475,3526
10/30/17,14.575,7484
10/27/17,14.575,5866
10/26/17,14.975,4160
10/25/17,14.925,8643
10/24/17,14.875,6270
10/23/17,14.875,5201
10/20/17,14.625,5440
10/19/17,14.725,8478
10/18/17,14.225,10578
10/17/17,14.225,12732
10/16/17,14.225,7825
10/13/17,14.425,8920
10/12/17,14.625,8005
10/11/17,14.625,5799
10/10/17,14.725,6334
10/9/17,14.875,4746
10/6/17,14.725,5340
10/5/17,14.675,3297
10/4/17,14.875,3650
10/3/17,14.875,5225
10/2/17,14.925,4870
9/29/17,15.225,3963
9/28/17,15.325,2256
9/27/17,15.375,3931
9/26/17,15.375,3115
9/25/17,15.475,5975
9/22/17,15.575,3686
9/21/17,15.375,6445
9/20/17,14.975,14088
9/19/17,15.125,19872
9/18/17,14.975,12414
9/15/17,15.325,5738
9/14/17,15.375,6692
9/13/17,15.325,9115
9/12/17,15.575,8356
9/11/17,15.825,8677
9/8/17,16.125,6219
9/7/17,15.975,7192
9/6/17,15.925,7998
9/5/17,15.625,9791
9/1/17,15.525,4466
8/31/17,15.525,7117
8/30/17,15.725,3805
8/29/17,15.675,8366
8/28/17,15.575,6760
8/25/17,15.65,6454
8/24/17,15.725,7004
8/23/17,15.775,9174
8/22/17,15.425,6533
8/21/17,15.975,6196
8/18/17,16.275,11692
8/17/17,16.125,15181
8/16/17,14.425,15612
8/15/17,14.625,14987
8/14/17,14.525,13357
8/11/17,15.725,24605
8/10/17,15.475,27068
8/9/17,14.525,17122
8/8/17,14.375,15422
8/7/17,14.075,7158
8/4/17,14.175,7929
8/3/17,14.025,6058
8/2/17,13.875,6669
8/1/17,13.725,6639
7/31/17,13.875,5810
7/28/17,14.025,6869
7/27/17,14.025,10356
7/26/17,14.125,6101
7/25/17,14.175,7638
7/24/17,14.2,4138
7/21/17,14.375,7583
7/20/17,14.425,5687
7/19/17,14.125,12532
7/18/17,14.225,10416
7/17/17,14.175,7941
7/14/17,14.225,7482
7/13/17,14.575,7061
7/12/17,14.625,9813
7/11/17,14.825,6576
7/10/17,14.975,5928
7/7/17,15.275,7898
7/6/17,15.325,9647
7/5/17,15.075,8081
7/3/17,15.075,4411
6/30/17,14.925,7516
6/29/17,14.875,15081
6/28/17,14.825,3683
6/27/17,14.875,8316
6/26/17,14.825,3841
6/23/17,15.1,4766
6/22/17,15.175,6679
6/21/17,14.575,12949
6/20/17,14.675,12438
6/19/17,14.775,9073
6/16/17,14.925,5964
6/15/17,15.125,5867
6/14/17,15.025,8169
6/13/17,15.125,4957
6/12/17,15.275,4696
6/9/17,15.225,6216
6/8/17,15.275,3156
6/7/17,15.475,3400
6/6/17,15.475,3544
6/5/17,15.375,2624
6/2/17,15.35,4380
6/1/17,15.275,5945
5/31/17,15.375,6986
5/30/17,15.375,7583
5/26/17,15.625,3738
5/25/17,15.725,6192
5/24/17,15.725,4519
5/23/17,15.775,3716
5/22/17,15.575,3890
5/19/17,15.775,10274
5/18/17,16.375,7795
5/17/17,15.775,29895
5/16/17,15.175,7911
5/15/17,15.175,6551
5/12/17,15.325,5807
5/11/17,15.275,8362
5/10/17,15.275,6215
5/9/17,15.175,5906
5/8/17,15.175,5457
5/5/17,15.075,5210
5/4/17,14.925,7280
5/3/17,15.125,3436
5/2/17,15.025,4374
5/1/17,14.925,4776
4/28/17,15.275,5357
4/27/17,15.375,2803
4/26/17,15.325,4844
4/25/17,15.225,8436
4/24/17,15.575,8366
4/21/17,15.925,8294
4/20/17,16.175,7507
4/19/17,15.425,20098
4/18/17,15.475,10280
4/17/17,15.575,6635
4/13/17,16.1,7442
4/12/17,15.875,6470
4/11/17,15.875,12529
4/10/17,15.775,4114
4/7/17,15.6,5272
4/6/17,15.375,4247
4/5/17,15.675,4494
4/4/17,15.375,3416
4/3/17,15.575,5214
3/31/17,15.475,4930
3/30/17,15.475,3028
3/29/17,15.575,2914
3/28/17,15.725,4568
3/27/17,16.025,5005
3/24/17,16.35,3865
3/23/17,16.675,4798
3/22/17,16.025,16625
3/21/17,16.125,10101
3/20/17,15.775,5859
3/17/17,15.875,9025
3/16/17,16.025,4142
3/15/17,16.275,5070
3/14/17,16.475,6421
3/13/17,16.325,2876
3/10/17,16.425,3163
3/9/17,16.575,4393
3/8/17,16.625,5346
3/7/17,16.625,3551
3/6/17,16.625,4380
3/3/17,16.725,4412
3/2/17,17.025,6446
3/1/17,16.925,4357
2/28/17,17.025,6028
2/27/17,16.925,3943
2/24/17,17.275,8843
2/23/17,17.125,8820
2/22/17,16.775,4082
2/21/17,16.675,4005
2/17/17,16.525,2508
2/16/17,16.425,8393
2/15/17,15.475,18616
2/14/17,15.775,12207
2/13/17,16.425,6581
2/10/17,16.725,8516
2/9/17,16.725,5486
2/8/17,16.875,10350
2/7/17,16.775,5597
2/6/17,16.725,3224
2/3/17,16.675,3583
2/2/17,16.825,4111
2/1/17,16.675,5501
1/31/17,16.875,3736
1/30/17,16.975,6304
1/27/17,16.925,4240
1/26/17,16.825,3866
1/25/17,16.775,4958
1/24/17,17.025,6391
1/23/17,17.525,4094
1/20/17,17.725,5939
1/19/17,17.925,4774
1/18/17,17.525,9887
1/17/17,17.725,9702
1/13/17,17.65,6500
1/12/17,17.525,6072
1/11/17,17.325,5955
1/10/17,17.425,5515
1/9/17,17.475,4858
1/6/17,17.575,4424
1/5/17,17.725,4255
1/4/17,17.825,5844
1/3/17,18.275,4685
12/30/16,18.825,3295
12/29/16,18.725,3319
12/28/16,18.625,2525
12/27/16,18.425,1252
12/23/16,18.575,1678
12/22/16,18.575,3395
12/21/16,17.825,6844
12/20/16,17.925,6694
12/19/16,18.025,4726
12/16/16,18.275,6573
12/15/16,18.275,3671
12/14/16,18.275,7310
12/13/16,18.475,6200
12/12/16,18.425,3501
12/9/16,18.225,4190
12/8/16,18.375,4379
12/7/16,18.3,5612
12/6/16,18.275,3180
12/5/16,18.425,4670
12/2/16,18.925,3573
12/1/16,18.825,4393
11/30/16,18.625,2411
11/29/16,18.625,1981
11/28/16,18.625,3042
11/25/16,18.525,1065
11/23/16,18.625,1674
11/22/16,18.525,2694
11/21/16,18.5,4957
11/18/16,18.725,6242
11/17/16,18.675,5346
11/16/16,18.375,11988
11/15/16,18.325,10372
11/14/16,18.375,6922
11/11/16,18.325,8369
11/10/16,18.375,12190
11/9/16,18,15726
11/8/16,18.525,6227
11/7/16,18.4,7379
11/4/16,19.925,6546
11/3/16,20.025,4732
11/2/16,19.45,4974
11/1/16,19.325,6114
10/31/16,19.025,3994
10/28/16,19.025,5857
10/27/16,18.975,3678
10/26/16,18.675,3823
10/25/16,18.525,5876
10/24/16,18.525,3257
10/21/16,18.875,3309
10/20/16,19.025,3044
10/19/16,18.6,6123
10/18/16,18.875,4317
10/17/16,19.025,2380
10/14/16,19.175,4652
10/13/16,19.3,6701
10/12/16,19.075,5527
10/11/16,18.925,7767
10/10/16,18.575,3061
10/7/16,18.85,4609
10/6/16,18.725,2951
10/5/16,18.775,3008
10/4/16,18.625,4556
10/3/16,18.875,3197
9/30/16,19.05,4182
9/29/16,19.125,5864
9/28/16,18.975,3213
9/27/16,19.1,5342
9/26/16,19.475,3884
9/23/16,19.35,3525
9/22/16,19.275,6621
9/21/16,19.275,13245
9/20/16,19.775,7891
9/19/16,19.625,8048
9/16/16,19.825,5587
9/15/16,20.125,8362
9/14/16,20.475,8573
9/13/16,20.075,12186
9/12/16,19.625,12296
9/9/16,20.15,9530
9/8/16,19.025,2714
9/7/16,18.875,2407
9/6/16,18.925,3716
9/2/16,19.225,4620
9/1/16,19.325,3609
8/31/16,19.325,3301
8/30/16,19.375,2901
8/29/16,19.425,2461
8/26/16,19.525,4200
8/25/16,19.375,3097
8/24/16,19.525,3595
8/23/16,19.425,2197
8/22/16,19.325,2791
8/19/16,19.3,3071
8/18/16,19.175,3153
8/17/16,18.075,12021
8/16/16,18.225,9111
8/15/16,17.925,5023
8/12/16,17.975,8568
8/11/16,17.925,4833
8/10/16,17.875,7926
8/9/16,17.675,5105
8/8/16,17.925,5255
8/5/16,18.175,5507
8/4/16,18.375,4941
8/3/16,18.475,4563
8/2/16,18.675,6805
8/1/16,18.275,7948
7/29/16,18.375,7903
7/28/16,18.725,4754
7/27/16,19.025,6008
7/26/16,19.125,4215
7/25/16,19.175,4127
7/22/16,19.075,5824
7/21/16,19.325,4974
7/20/16,18.825,9210
7/19/16,18.95,7042
7/18/16,18.875,6295
7/15/16,19.175,5701
7/14/16,18.975,6182
7/13/16,19.075,4260
7/12/16,19.125,5176
7/11/16,19.475,3430
