Date,Future,PX_LAST,DAILY_RETURN,PX_VOLUME,DAYS_UNTIL_EXP,,,
12/29/17,M18,14.825,0.003384095,2265,165,,,
12/28/17,M18,14.775,0,1655,165,,,
12/27/17,M18,14.775,-0.006722689,2480,165,,,
12/26/17,M18,14.875,-0.008333333,1083,165,,,
12/22/17,M18,15,-0.001663894,2390,165,,,
12/21/17,M18,15.025,0.027350427,1560,165,,,
12/20/17,K18,14.625,0,3749,165,,,
12/19/17,K18,14.625,0,4345,165,,,
12/18/17,K18,14.625,-0.020100503,5878,165,,,
12/15/17,K18,14.925,-0.016474465,3311,165,,,
12/14/17,K18,15.175,0,4012,165,,,
12/13/17,K18,15.175,-0.006546645,3749,165,,,
12/12/17,K18,15.275,0.003284072,2910,165,,,
12/11/17,K18,15.225,-0.008143322,2528,165,,,
12/8/17,K18,15.35,-0.004862237,2979,165,,,
12/7/17,K18,15.425,-0.019077901,1819,165,,,
12/6/17,K18,15.725,-0.003169572,1768,165,,,
12/5/17,K18,15.775,-0.006299213,5256,165,,,
12/4/17,K18,15.875,-0.003139717,4556,165,,,
12/1/17,K18,15.925,0.006319115,9359,165,,,
11/30/17,K18,15.825,0,3445,165,,,
11/29/17,K18,15.825,0.0128,2113,165,,,
11/28/17,K18,15.625,-0.0063593,2709,165,,,
11/27/17,K18,15.725,0.0064,1727,165,,,
11/24/17,K18,15.625,-0.003189793,2071,165,,,
11/22/17,K18,15.675,-0.009478673,2258,165,,,
11/21/17,K18,15.825,-0.0155521,2785,165,,,
11/20/17,K18,16.075,-0.018320611,2106,165,,,
11/17/17,K18,16.375,-0.006069803,4069,165,,,
11/16/17,K18,16.475,0.012288786,3274,165,,,
11/15/17,J18,16.275,0.01244168,6064,165,,,
11/14/17,J18,16.075,0.009419152,7559,165,,,
11/13/17,J18,15.925,0.012718601,4594,165,,,
11/10/17,J18,15.725,0.012882448,6090,165,,,
11/9/17,J18,15.525,0.003231018,6126,165,,,
11/8/17,J18,15.475,0.006504065,3669,165,,,
11/7/17,J18,15.375,0.006546645,6301,165,,,
11/6/17,J18,15.275,0,1650,165,,,
11/3/17,J18,15.275,0.003284072,1390,165,,,
11/2/17,J18,15.225,0.00661157,1886,165,,,
11/1/17,J18,15.125,0.00331675,2639,165,,,
10/31/17,J18,15.075,-0.006589786,1857,165,,,
10/30/17,J18,15.175,0,2796,165,,,
10/27/17,J18,15.175,-0.022544283,1829,165,,,
10/26/17,J18,15.525,0.003231018,1384,165,,,
10/25/17,J18,15.475,0,3611,165,,,
10/24/17,J18,15.475,0.003241491,3259,165,,,
10/23/17,J18,15.425,0.013136289,2820,165,,,
10/20/17,J18,15.225,-0.006525285,2343,165,,,
10/19/17,J18,15.325,0.030252101,3837,165,,,
10/18/17,H18,14.875,0.003372681,9477,165,,,
10/17/17,H18,14.825,-0.003361345,7512,165,,,
10/16/17,H18,14.875,-0.009983361,3057,165,,,
10/13/17,H18,15.025,-0.016366612,3905,165,,,
10/12/17,H18,15.275,0,3624,165,,,
10/11/17,H18,15.275,-0.003262643,2134,165,,,
10/10/17,H18,15.325,-0.009693053,3931,165,,,
10/9/17,H18,15.475,0.009787928,5151,165,,,
10/6/17,H18,15.325,0.003273322,2465,165,,,
10/5/17,H18,15.275,-0.012924071,1885,165,,,
10/4/17,H18,15.475,0,1504,165,,,
10/3/17,H18,15.475,-0.003220612,3721,165,,,
10/2/17,H18,15.525,-0.017405063,3736,165,,,
9/29/17,H18,15.8,-0.004724409,2737,165,,,
9/28/17,H18,15.875,-0.003139717,1689,165,,,
9/27/17,H18,15.925,0,1711,165,,,
9/26/17,H18,15.925,-0.00624025,1405,165,,,
9/25/17,H18,16.025,-0.00311042,2634,165,,,
9/22/17,H18,16.075,0.009419152,2809,165,,,
9/21/17,H18,15.925,0.039151713,3578,165,,,
9/20/17,G18,15.325,-0.009693053,9425,165,,,
9/19/17,G18,15.475,0.009787928,9424,165,,,
9/18/17,G18,15.325,-0.020766773,8560,165,,,
9/15/17,G18,15.65,-0.004769475,2449,165,,,
9/14/17,G18,15.725,0.0064,3256,165,,,
9/13/17,G18,15.625,-0.012638231,4967,165,,,
9/12/17,G18,15.825,-0.012480499,5867,165,,,
9/11/17,G18,16.025,-0.018376723,5385,165,,,
9/8/17,G18,16.325,0.00927357,2796,165,,,
9/7/17,G18,16.175,-0.003081664,5648,165,,,
9/6/17,G18,16.225,0.018838305,3758,165,,,
9/5/17,G18,15.925,0.006319115,4363,165,,,
9/1/17,G18,15.825,0,2526,165,,,
8/31/17,G18,15.825,-0.012480499,2471,165,,,
8/30/17,G18,16.025,0.00312989,1163,165,,,
8/29/17,G18,15.975,0.006299213,2931,165,,,
8/28/17,G18,15.875,-0.004702194,2574,165,,,
8/25/17,G18,15.95,-0.001564945,1792,165,,,
8/24/17,G18,15.975,-0.003120125,3048,165,,,
8/23/17,G18,16.025,0.022328549,3461,165,,,
8/22/17,G18,15.675,-0.033898305,2821,165,,,
8/21/17,G18,16.225,-0.018154312,2889,165,,,
8/18/17,G18,16.525,0.009160305,5577,165,,,
8/17/17,G18,16.375,0.054750403,9215,165,,,
8/16/17,F18,15.525,-0.009569378,6658,165,,,
8/15/17,F18,15.675,0.006420546,6091,165,,,
8/14/17,F18,15.575,-0.068759342,6663,165,,,
8/11/17,F18,16.725,0.013636364,11527,165,,,
8/10/17,F18,16.5,0.059390048,10311,165,,,
8/9/17,F18,15.575,0.006462036,8328,165,,,
8/8/17,F18,15.475,0.019769357,8079,165,,,
8/7/17,F18,15.175,-0.004918033,2731,165,,,
8/4/17,F18,15.25,0.008264463,4152,165,,,
8/3/17,F18,15.125,0.010016694,2572,165,,,
8/2/17,F18,14.975,0.010118044,4930,165,,,
8/1/17,F18,14.825,-0.013311148,5002,165,,,
7/31/17,F18,15.025,-0.00661157,2306,165,,,
7/28/17,F18,15.125,0.001655629,4058,165,,,
7/27/17,F18,15.1,-0.008210181,5651,165,,,
7/26/17,F18,15.225,-0.006525285,2792,165,,,
7/25/17,F18,15.325,0,2742,165,,,
7/24/17,F18,15.325,-0.011290323,2422,165,,,
7/21/17,F18,15.5,-0.004815409,6241,165,,,
7/20/17,F18,15.575,0.075993092,2792,165,,,
7/19/17,Z17,14.475,0,15719,165,,,
7/18/17,Z17,14.475,0.003466205,5361,165,,,
7/17/17,Z17,14.425,0,3461,165,,,
7/14/17,Z17,14.425,-0.023688663,3990,165,,,
7/13/17,Z17,14.775,-0.003372681,6101,165,,,
7/12/17,Z17,14.825,-0.013311148,3713,165,,,
7/11/17,Z17,15.025,-0.009884679,4079,165,,,
7/10/17,Z17,15.175,-0.019386107,2523,165,,,
7/7/17,Z17,15.475,0,4616,165,,,
7/6/17,Z17,15.475,0.01309329,7037,165,,,
7/5/17,Z17,15.275,-0.003262643,4773,165,,,
7/3/17,Z17,15.325,0.009884679,3840,165,,,
6/30/17,Z17,15.175,0.003305785,3083,165,,,
6/29/17,Z17,15.125,0,6658,165,,,
6/28/17,Z17,15.125,-0.003294893,2539,165,,,
6/27/17,Z17,15.175,0,5846,165,,,
6/26/17,Z17,15.175,-0.016207455,3029,165,,,
6/23/17,Z17,15.425,-0.003231018,1740,165,,,
